timestamp,vibration_rms_mm_s
2024-05-21 07:01,3.99
2024-05-21 07:02,3.98
2024-05-21 07:03,3.98
2024-05-21 07:04,3.98
2024-05-21 07:05,3.98
2024-05-21 07:06,3.97
2024-05-21 07:07,3.97
2024-05-21 07:08,3.97
2024-05-21 07:09,3.96
2024-05-21 07:10,3.96
2024-05-21 07:11,3.96
2024-05-21 07:12,3.96
2024-05-21 07:13,3.96
2024-05-21 07:14,3.96
2024-05-21 07:15,3.96
2024-05-21 07:16,3.96
2024-05-21 07:17,3.96
2024-05-21 07:18,3.96
2024-05-21 07:19,3.97
2024-05-21 07:20,3.97
2024-05-21 07:21,3.98
2024-05-21 07:22,3.98
2024-05-21 07:23,3.99
2024-05-21 07:24,4.0
2024-05-21 07:25,4.0
2024-05-21 07:26,4.01
2024-05-21 07:27,4.02
2024-05-21 07:28,4.03
2024-05-21 07:29,4.04
2024-05-21 07:30,4.05
2024-05-21 07:31,4.06
2024-05-21 07:32,4.07
2024-05-21 07:33,4.08
2024-05-21 07:34,4.09
2024-05-21 07:35,4.1
2024-05-21 07:36,4.1
2024-05-21 07:37,4.11
2024-05-21 07:38,4.12
2024-05-21 07:39,4.13
2024-05-21 07:40,4.13
2024-05-21 07:41,4.14
2024-05-21 07:42,4.14
2024-05-21 07:43,4.15
2024-05-21 07:44,4.15
2024-05-21 07:45,4.15
2024-05-21 07:46,4.15
2024-05-21 07:47,4.15
2024-05-21 07:48,4.15
2024-05-21 07:49,4.15
2024-05-21 07:50,4.15
2024-05-21 07:51,4.15
2024-05-21 07:52,4.15
2024-05-21 07:53,4.15
2024-05-21 07:54,4.14
2024-05-21 07:55,4.14
2024-05-21 07:56,4.14
2024-05-21 07:57,4.14
2024-05-21 07:58,4.13
2024-05-21 07:59,4.13
2024-05-21 08:00,4.13
2024-05-21 08:01,4.13
2024-05-21 08:02,4.12
2024-05-21 08:03,4.12
2024-05-21 08:04,4.12
2024-05-21 08:05,4.12
2024-05-21 08:06,4.12
2024-05-21 08:07,4.13
2024-05-21 08:08,4.13
2024-05-21 08:09,4.13
2024-05-21 08:10,4.14
2024-05-21 08:11,4.14
2024-05-21 08:12,4.15
2024-05-21 08:13,4.15
2024-05-21 08:14,4.16
2024-05-21 08:15,4.17
2024-05-21 08:16,4.18
2024-05-21 08:17,4.18
2024-05-21 08:18,4.19
2024-05-21 08:19,4.2
2024-05-21 08:20,4.21
2024-05-21 08:21,4.22
2024-05-21 08:22,4.23
2024-05-21 08:23,4.24
2024-05-21 08:24,4.25
2024-05-21 08:25,4.26
2024-05-21 08:26,4.27
2024-05-21 08:27,4.28
2024-05-21 08:28,4.28
2024-05-21 08:29,4.29
2024-05-21 08:30,4.3
2024-05-21 08:31,4.3
2024-05-21 08:32,4.31
2024-05-21 08:33,4.31
2024-05-21 08:34,4.31
2024-05-21 08:35,4.32
2024-05-21 08:36,4.32
2024-05-21 08:37,4.32
2024-05-21 08:38,4.32
2024-05-21 08:39,4.32
2024-05-21 08:40,4.32
2024-05-21 08:41,4.32
2024-05-21 08:42,4.32
2024-05-21 08:43,4.31
2024-05-21 08:44,4.31
2024-05-21 08:45,4.31
2024-05-21 08:46,4.31
2024-05-21 08:47,4.3
2024-05-21 08:48,4.3
2024-05-21 08:49,4.3
2024-05-21 08:50,4.29
2024-05-21 08:51,4.29
2024-05-21 08:52,4.29
2024-05-21 08:53,4.29
2024-05-21 08:54,4.29
2024-05-21 08:55,4.29
2024-05-21 08:56,4.29
2024-05-21 08:57,4.29
2024-05-21 08:58,4.29
2024-05-21 08:59,4.3
2024-05-21 09:00,4.3
2024-05-21 09:01,4.31
2024-05-21 09:02,4.31
2024-05-21 09:03,4.32
2024-05-21 09:04,4.32
2024-05-21 09:05,4.33
2024-05-21 09:06,4.34
2024-05-21 09:07,4.35
2024-05-21 09:08,4.36
2024-05-21 09:09,4.37
2024-05-21 09:10,4.38
2024-05-21 09:11,4.38
2024-05-21 09:12,4.39
2024-05-21 09:13,4.4
2024-05-21 09:14,4.41
2024-05-21 09:15,4.42
2024-05-21 09:16,4.43
2024-05-21 09:17,4.44
2024-05-21 09:18,4.45
2024-05-21 09:19,4.45
2024-05-21 09:20,4.46
2024-05-21 09:21,4.47
2024-05-21 09:22,4.47
2024-05-21 09:23,4.48
2024-05-21 09:24,4.48
2024-05-21 09:25,4.48
2024-05-21 09:26,4.48
2024-05-21 09:27,4.49
2024-05-21 09:28,4.49
2024-05-21 09:29,4.49
2024-05-21 09:30,4.49
2024-05-21 09:31,4.48
2024-05-21 09:32,4.48
2024-05-21 09:33,4.48
2024-05-21 09:34,4.48
2024-05-21 09:35,4.48
2024-05-21 09:36,4.47
2024-05-21 09:37,4.47
2024-05-21 09:38,4.47
2024-05-21 09:39,4.46
2024-05-21 09:40,4.46
2024-05-21 09:41,4.46
2024-05-21 09:42,4.46
2024-05-21 09:43,4.46
2024-05-21 09:44,4.46
2024-05-21 09:45,4.46
2024-05-21 09:46,4.46
2024-05-21 09:47,4.46
2024-05-21 09:48,4.46
2024-05-21 09:49,4.46
2024-05-21 09:50,4.47
2024-05-21 09:51,4.47
2024-05-21 09:52,4.48
2024-05-21 09:53,4.48
2024-05-21 09:54,4.49
2024-05-21 09:55,4.5
2024-05-21 09:56,4.5
2024-05-21 09:57,4.51
2024-05-21 09:58,4.52
2024-05-21 09:59,4.53
2024-05-21 10:00,4.54
2024-05-21 10:01,4.55
2024-05-21 10:02,4.56
2024-05-21 10:03,4.57
2024-05-21 10:04,4.58
2024-05-21 10:05,4.59
2024-05-21 10:06,4.59
2024-05-21 10:07,4.6
2024-05-21 10:08,4.61
2024-05-21 10:09,4.62
2024-05-21 10:10,4.62
2024-05-21 10:11,4.63
2024-05-21 10:12,4.64
2024-05-21 10:13,4.64
2024-05-21 10:14,4.64
2024-05-21 10:15,4.65
2024-05-21 10:16,4.65
2024-05-21 10:17,4.65
2024-05-21 10:18,4.65
2024-05-21 10:19,4.65
2024-05-21 10:20,4.65
2024-05-21 10:21,4.65
2024-05-21 10:22,4.65
2024-05-21 10:23,4.65
2024-05-21 10:24,4.64
2024-05-21 10:25,4.64
2024-05-21 10:26,4.64
2024-05-21 10:27,4.64
2024-05-21 10:28,4.63
2024-05-21 10:29,4.63
2024-05-21 10:30,4.63
2024-05-21 10:31,4.63
2024-05-21 10:32,4.62
2024-05-21 10:33,4.62
2024-05-21 10:34,4.62
2024-05-21 10:35,4.62
2024-05-21 10:36,4.62
2024-05-21 10:37,4.62
2024-05-21 10:38,4.62
2024-05-21 10:39,4.63
2024-05-21 10:40,4.63
2024-05-21 10:41,4.63
2024-05-21 10:42,4.64
2024-05-21 10:43,4.65
2024-05-21 10:44,4.65
2024-05-21 10:45,4.66
2024-05-21 10:46,4.67
2024-05-21 10:47,4.68
2024-05-21 10:48,4.68
2024-05-21 10:49,4.69
2024-05-21 10:50,4.7
2024-05-21 10:51,4.71
2024-05-21 10:52,4.72
2024-05-21 10:53,4.73
2024-05-21 10:54,4.74
2024-05-21 10:55,4.75
2024-05-21 10:56,4.76
2024-05-21 10:57,4.77
2024-05-21 10:58,4.77
2024-05-21 10:59,4.78
